Expenditure Date,Payee Name,Address,Payee Type,Amount($),Committee Name,Expense Category,Expense Purpose,Expense Toward,Expense Method,Vendor,Fundtype,Comments
9/2/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,488,Blair  David for Montgomery,Salaries and Other compensation,Payroll Company Management Expense,,Check,,Electoral,Payroll Processing Fees
9/2/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,33869,Blair  David for Montgomery,Salaries and Other compensation,Wages - Campaign Staff,,Check,,Electoral,Staff Payroll
9/3/2021,USPS,475 Lenfant Plz SW  Washington  District Of Columbia 20260,Business/Group/Organization,8,Blair  David for Montgomery,Postage,Postage,,Check,,Electoral,Postage
9/3/2021,Giant,12051 Rockville Pike  Rockville  Maryland 20852,Business/Group/Organization,23,Blair  David for Montgomery,Other Expenses,Other,,Check,,Electoral,Food & Beverage
9/3/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,10886,Blair  David for Montgomery,Salaries and Other compensation,Wages - Employment Taxes,,Check,,Electoral,Payroll Tax
9/3/2021,Young Leader's Institute,3 Pinecrest Ct  Greenbelt  Maryland 20770,Business/Group/Organization,3000,Blair  David for Montgomery,Salaries and Other compensation,Consultant Fees- Campaign workers,,Check,,Electoral,Consultant
9/7/2021,Montgomery County Branch NAACP,8001 Lynbrook Dr  Bethesda  Maryland 20814,Business/Group/Organization,1725,Blair  David for Montgomery,Other Expenses,Other,,Check,,Electoral,49th Annual Freedom Fund Celebration Sponsorship- 10/11 expense purpose amended (approved by LH)
9/7/2021,Giant,12051 Rockville Pike  Rockville  Maryland 20852,Business/Group/Organization,21,Blair  David for Montgomery,Other Expenses,Other,,Check,,Electoral,Food & Beverage
9/8/2021,11751 Rockville,11751 Rockville Pike  North Bethesda  Maryland 20852,Business/Group/Organization,4000,Blair  David for Montgomery,Rent and Other Office expenses,Office Rent,,Check,,Electoral,Office Rent
9/8/2021,11751 Rockville,11751 Rockville Pike  North Bethesda  Maryland 20852,Business/Group/Organization,4000,Blair  David for Montgomery,Rent and Other Office expenses,Office Rent,,Check,,Electoral,Office Rent
9/8/2021,Amazon,1 HACKER Way  Sacramento  California 94205,Business/Group/Organization,32,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
9/9/2021,Micro Electronic,776 E JEFFERSON St  # 203  Rockville  Maryland 20852,Business/Group/Organization,53,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
9/9/2021,Staples,500 STAPLES DR  FRAMINGHAM  Massachusetts 01702,Business/Group/Organization,25,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
9/9/2021,Amazon,1 HACKER Way  Sacramento  California 94205,Business/Group/Organization,21,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
9/10/2021,Maryland Democratic Party,275 West Street  #700  Annapolis  Maryland 21401,Business/Group/Organization,3500,Blair  David for Montgomery,Other Expenses,Other,,Check,,Electoral,Sponsorship for 2021 Gala
9/13/2021,Microsoft,1 Microsoft Way  Redmond  Washington 98052,Business/Group/Organization,9,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
9/13/2021,Poolesville Day Committe,19701 FISHER Ave  Poolesville  Maryland 20837,Business/Group/Organization,60,Blair  David for Montgomery,Other Expenses,Other,,Check,,Electoral,Poolesville Day 2021 Sponsorship and Participation in Parade- 10/11/22 expense purpose amended (approved by LH)
9/13/2021,LJ's Cafe,9210 Corporate Blvd  Rockville  Maryland 20850,Business/Group/Organization,331,Blair  David for Montgomery,Other Expenses,Other,,Check,,Electoral,Food & Beverage
9/15/2021,Young Leader's Institute,3 Pinecrest Ct  Greenbelt  Maryland 20770,Business/Group/Organization,4500,Blair  David for Montgomery,Salaries and Other compensation,Consultant Fees- Campaign workers,,Check,,Electoral,Consultant
9/16/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,79,Blair  David for Montgomery,Salaries and Other compensation,Staff - Insurance,,Check,,Electoral,Workers Comp. Insurance
9/16/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,433,Blair  David for Montgomery,Salaries and Other compensation,Payroll Company Management Expense,,Check,,Electoral,Payroll Processing Fees
9/16/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,18661,Blair  David for Montgomery,Salaries and Other compensation,Wages - Campaign Staff,,Check,,Electoral,Staff Payroll
9/17/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,10497,Blair  David for Montgomery,Salaries and Other compensation,Wages - Employment Taxes,,Check,,Electoral,Payroll Tax
9/21/2021,USPS,475 Lenfant Plz SW  Washington  District Of Columbia 20260,Business/Group/Organization,261,Blair  David for Montgomery,Postage,Postage,,Check,,Electoral,PO Box Rental
9/23/2021,Mosaic Strategy Partners,777 Taylor St  Ste 1130  Fort Worth  Texas 76102,Business/Group/Organization,511,Blair  David for Montgomery,Salaries and Other compensation,Consulting Fees - General,,Check,,Electoral,Communications Consulting
